"celltype","gene","cells","mean_log1p_cp10k","detected_fraction","pseudobulk_log1p_cp10k","scaled"
"Gland","TPSAB1",2870,0.00967638380186248,0.00592334494773519,0.0102237097385088,0.00129822578900839
"Gland","PMEL",2870,0.00800894673727928,0.00696864111498258,0.0113532521505596,0.00484856293447546
"Gland","DCD",2870,2.49839452940765,0.852264808362369,6.99310579890304,1
"Gland","TIMP1",2870,1.09660331151717,0.53205574912892,1.40146643847473,0.336294255043705
"Gland","CHI3L1",2870,0.0218055427460546,0.0212543554006969,0.15662460165939,0.0211625869722366
"Gland","FN1",2870,0.446057161887533,0.246689895470383,0.688962695533623,0.187627674047744
"Gland","DCN",2870,1.6467038328025,0.487456445993031,2.92366282808434,0.39489585548656
"Gland","LUM",2870,0.962304468332064,0.368292682926829,1.72932139449137,0.272700393919021
"T cell","COL1A1",5761,0.350571280773939,0.193369206734942,1.57330086539497,0.00186346137720279
"T cell","PDGFRA",5761,0.0141725061126952,0.0123242492622809,0.0528879255428598,0.00422069439876629
"T cell","KRT14",5761,0.437051315865458,0.242319041833015,1.07146848825974,0.0256546778523718
"T cell","KRT10",5761,0.616606612879637,0.373025516403402,1.02933048776091,0.0060598369392634
"T cell","LYZ",5761,0.0253880130265783,0.0170109356014581,0.152643310720804,0.00774635885115413
"T cell","CD3D",5761,1.333291058774,0.647457038708558,1.80874934459895,1
"T cell","MS4A1",5761,0.0260094807829643,0.0171845165769832,0.0561607082033287,0.0198123664324495
"T cell","PECAM1",5761,0.0390168351087583,0.0258635653532373,0.0910209535704193,0.0109581932528984
"T cell","CCL21",5761,0.0219660548179959,0.0159694497483076,0.0477232422583233,0
"T cell","RGS5",5761,0.0381344283606472,0.0227391077937858,0.219051500443717,0.00188812690564462
"T cell","TPSAB1",5761,0.0108444093006138,0.00659607706995313,0.0195571344598309,0.00164713834112326
"T cell","PMEL",5761,0.00114321406049206,0.00104148585315049,0.00295806481523156,0
"T cell","DCD",5761,0.132628273393694,0.0741190765492102,0.296853751750151,0.0446604105751158
"T cell","TIMP1",5761,0.754690522181367,0.43100156222878,1.81028533708632,0.183688113459504
"T cell","CHI3L1",5761,0.0284264674093926,0.0182260024301337,0.265168429980711,0.0343125318716369
"T cell","FN1",5761,0.127145226819297,0.0732511716715848,0.850578079130755,0.0156164337070424
"T cell","DCN",5761,0.189456968189626,0.10553723311925,0.986075472346985,0
"T cell","LUM",5761,0.129511055917733,0.0723832667939594,0.789483473258485,0
