gsm,celltype,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
GSM5050569,b_plasma,KRT14,17,0.5340885270611425,0.5294117647058824,0.6253269659532988
GSM5050569,b_plasma,KRT10,17,0.5745093258493233,0.5882352941176471,0.6253269659532988
GSM5050569,b_plasma,LYZ,17,0.0,0.0,0.0
GSM5050569,b_plasma,CD3D,17,0.0,0.0,0.0
GSM5050569,b_plasma,MS4A1,17,1.0181800936725982,0.4117647058823529,1.154407156272083
GSM5050569,b_plasma,PECAM1,17,0.02623128766222933,0.058823529411764705,0.1509260611703057
GSM5050569,b_plasma,CCL21,17,0.0,0.0,0.0
GSM5050569,b_plasma,RGS5,17,0.2679184883455375,0.11764705882352941,0.5017703578756401
GSM5050569,b_plasma,TPSAB1,17,0.0,0.0,0.0
GSM5050569,b_plasma,PMEL,17,0.04431461893804588,0.058823529411764705,0.05288041328660201
GSM5050569,b_plasma,DCD,17,0.0,0.0,0.0
GSM5050569,b_plasma,TIMP1,17,0.5084752644115014,0.35294117647058826,0.9026768970571483
GSM5050569,b_plasma,CHI3L1,17,0.0,0.0,0.0
GSM5050569,b_plasma,FN1,17,1.4091205003805287,0.6470588235294118,1.6022440288834394
GSM5050569,b_plasma,DCN,17,1.0100297419811348,0.5294117647058824,2.045579780611938
GSM5050569,b_plasma,LUM,17,1.3293028934307662,0.5882352941176471,2.2985857950214106
GSM5050569,endothelial,COL1A1,420,1.7069148063448518,0.9119047619047619,2.3480709649809213
GSM5050569,endothelial,PDGFRA,420,0.03330253430840319,0.04047619047619048,0.06166270244753322
GSM5050569,endothelial,KRT14,420,0.7288266376023592,0.6309523809523809,0.6728603572770004
GSM5050569,endothelial,KRT10,420,0.5848123178301396,0.5380952380952381,0.826612088417481
GSM5050569,endothelial,LYZ,420,0.017040556369126592,0.011904761904761904,0.013401456574459174
GSM5050569,endothelial,CD3D,420,0.0,0.0,0.0
GSM5050569,endothelial,MS4A1,420,0.0,0.0,0.0
GSM5050569,endothelial,PECAM1,420,2.271863482925001,0.8809523809523809,2.6890142975499907
GSM5050569,endothelial,CCL21,420,0.012223390674434668,0.02619047619047619,0.020979559717122835
GSM5050569,endothelial,RGS5,420,0.08575171268957314,0.08095238095238096,0.38545331510167025
GSM5050569,endothelial,TPSAB1,420,0.0,0.0,0.0
GSM5050569,endothelial,PMEL,420,0.01338381909103084,0.02142857142857143,0.01909041097030459
GSM5050569,endothelial,DCD,420,0.0,0.0,0.0
GSM5050569,endothelial,TIMP1,420,1.276317350887911,0.7928571428571428,1.5398625135048694
GSM5050569,endothelial,CHI3L1,420,0.0068479071589504425,0.004761904761904762,0.026625686587294677
GSM5050569,endothelial,FN1,420,0.7973546801706513,0.5190476190476191,1.5906217641161335
GSM5050569,endothelial,DCN,420,0.28229492605385387,0.3,0.7086012450694633
GSM5050569,endothelial,LUM,420,0.4212922173064884,0.40714285714285714,0.8981967171906106
GSM5050569,fibroblast,COL1A1,1821,5.904303120492,1.0,6.081787688275864
GSM5050569,fibroblast,PDGFRA,1821,1.181134497362999,0.8989566172432729,1.281721290799322
GSM5050569,fibroblast,KRT14,1821,0.5396201541276364,0.6617243272926964,0.6185206406440653
GSM5050569,fibroblast,KRT10,1821,0.9574458646727326,0.8132894014277869,1.2361349695110884
GSM5050569,fibroblast,LYZ,1821,0.010422397453638039,0.018121911037891267,0.0147621156393748
GSM5050569,fibroblast,CD3D,1821,0.0007725794531817283,0.001098297638660077,0.0006068204926344134
GSM5050569,fibroblast,MS4A1,1821,0.0,0.0,0.0
GSM5050569,fibroblast,PECAM1,1821,0.07874954198337625,0.15980230642504117,0.10287271994813688
GSM5050569,fibroblast,CCL21,1821,0.015732807764589008,0.03459637561779242,0.01983316928017814
